
name                                          kind      url                                          
----                                          ----      ---                                          
ApplicationLatest                             EntitySet ApplicationLatest                            
AppDependenceRelation                         EntitySet AppDependenceRelation                        
AppDependenceRelation_Flat                    EntitySet AppDependenceRelation_Flat                   
AppRelation_Flat                              EntitySet AppRelation_Flat                             
DeploymentTypeLicenseAssociation              EntitySet DeploymentTypeLicenseAssociation             
CFDFeature                                    EntitySet CFDFeature                                   
NAPRestrictionSummary                         EntitySet NAPRestrictionSummary                        
NAPSystemInfo                                 EntitySet NAPSystemInfo                                
NAPRestrictionErrorSummary                    EntitySet NAPRestrictionErrorSummary                   
CIRelation                                    EntitySet CIRelation                                   
CIRelation_Flat                               EntitySet CIRelation_Flat                              
CIAssignmentToCI                              EntitySet CIAssignmentToCI                             
CI_ComplianceHistory                          EntitySet CI_ComplianceHistory                         
CI_ComplianceSummary                          EntitySet CI_ComplianceSummary                         
CI_CurrentComplianceStatus                    EntitySet CI_CurrentComplianceStatus                   
EULAContent                                   EntitySet EULAContent                                  
StateInformation                              EntitySet StateInformation                             
Template                                      EntitySet Template                                     
SeverityRef                                   EntitySet SeverityRef                                  
UpdateComplianceStatus                        EntitySet UpdateComplianceStatus                       
UpdateDeploymentSummary                       EntitySet UpdateDeploymentSummary                      
CIToContent                                   EntitySet CIToContent                                  
PackageToContent                              EntitySet PackageToContent                             
CIContentFiles                                EntitySet CIContentFiles                               
SoftwareUpdateSource                          EntitySet SoftwareUpdateSource                         
ApplicationPolicyTemplateBinding              EntitySet ApplicationPolicyTemplateBinding             
CIAssignmentBaseClass                         EntitySet CIAssignmentBaseClass                        
ApplicationAssignment                         EntitySet ApplicationAssignment                        
UpdatesAssignment                             EntitySet UpdatesAssignment                            
BaselineAssignment                            EntitySet BaselineAssignment                           
UpdateGroupAssignment                         EntitySet UpdateGroupAssignment                        
ConfigurationPolicyAssignment                 EntitySet ConfigurationPolicyAssignment                
DeviceSettingItem                             EntitySet DeviceSettingItem                            
DeviceSettingPackageItem                      EntitySet DeviceSettingPackageItem                     
TaskSequenceReferencesInfo                    EntitySet TaskSequenceReferencesInfo                   
TaskSequenceAppReferencesInfo                 EntitySet TaskSequenceAppReferencesInfo                
AIProxy                                       EntitySet AIProxy                                      
AICategory                                    EntitySet AICategory                                   
AIHardwareRequirements                        EntitySet AIHardwareRequirements                       
AISoftwareList                                EntitySet AISoftwareList                               
AIMLSParser                                   EntitySet AIMLSParser                                  
CIUpdateSources                               EntitySet CIUpdateSources                              
CIAllCategories                               EntitySet CIAllCategories                              
ConfigurationItemSettingReference             EntitySet ConfigurationItemSettingReference            
ConfigurationItemRules                        EntitySet ConfigurationItemRules                       
ConfigurationItemSettings                     EntitySet ConfigurationItemSettings                    
CustomConfigurationSettingsSettings           EntitySet CustomConfigurationSettingsSettings          
SystemAuxInfo                                 EntitySet SystemAuxInfo                                
DW_TargetSyncGroup                            EntitySet DW_TargetSyncGroup                           
DW_TargetSiteTables                           EntitySet DW_TargetSiteTables                          
DW_TargetSyncTable                            EntitySet DW_TargetSyncTable                           
LastPXEAdvertisement                          EntitySet LastPXEAdvertisement                         
Certificate                                   EntitySet Certificate                                  
CertificateInfo                               EntitySet CertificateInfo                              
PXECertificateInfo                            EntitySet PXECertificateInfo                           
ISVProxyCertificateInfo                       EntitySet ISVProxyCertificateInfo                      
AMTMachineInfo                                EntitySet AMTMachineInfo                               
AMTCertificate                                EntitySet AMTCertificate                               
AutoDeployment                                EntitySet AutoDeployment                               
ADRDeploymentSettings                         EntitySet ADRDeploymentSettings                        
PendingRegistrationRecord                     EntitySet PendingRegistrationRecord                    
Permission                                    EntitySet Permission                                   
CollectionPermission                          EntitySet CollectionPermission                         
ARoleOperation                                EntitySet ARoleOperation                               
Role                                          EntitySet Role                                         
SecuredCategory                               EntitySet SecuredCategory                              
SettableSecuredCategory                       EntitySet SettableSecuredCategory                      
InitSettableSecuredCategory                   EntitySet InitSettableSecuredCategory                  
AssociatedSecuredCategory                     EntitySet AssociatedSecuredCategory                    
InitModifiableSecuredCategory                 EntitySet InitModifiableSecuredCategory                
Admin                                         EntitySet Admin                                        
AdminRole                                     EntitySet AdminRole                                    
AdminCategory                                 EntitySet AdminCategory                                
